deviceID,VlanID,name,ip address,ip address mask
l2-20240207,1,DEFAULT_VLAN,,
l2-20240207,92,VLAN 92 seg,192.168.66.88,24
l2-20240207,401,VLAN 401 seg,192.168.66.88,5
l2-20240207,402,VLAN 402 seg,,
l2-20240207,403,VLAN 403 seg,192.168.66.88,14
l2-20240207,404,VLAN 404 seg,,
l2-20240207,405,VLAN 405 seg,192.168.66.88,18
l2-20240207,406,VLAN 406 seg,,
l2-20240207,407,VLAN 407 seg,,
l2-20240207,409,VLAN 409 seg,,
l2-20240207,410,VLAN 410 seg,,
l2-20240207,411,VLAN 411 seg,,
l2-20240207,412,VLAN 412 seg,,
l2-20240207,413,VLAN 413 seg,,
l2-20240207,414,VLAN 414 seg,,
l2-20240207,416,VLAN 416 seg,,
l2-20240207,417,VLAN 417 seg,,
l2-20240207,418,VLAN 418 seg,,
l2-20240207,419,VLAN 419 seg,,
l2-20240207,420,VLAN 420 seg,,
l2-20240207,421,VLAN 421 seg,,
l2-20240207,422,VLAN 422 seg,,
l2-20240207,423,VLAN 423 seg,,
l2-20240207,424,VLAN 424 seg,,
l2-20240207,427,VLAN 427 seg,,
