deviceID,dest_ip,dest_mask,gw,metric
20240312,10.6.1.0,24,10.5.16.250,
20240312,10.6.2.0,24,10.5.17.250,
20240312,10.6.3.0,24,10.5.17.250,
20240312,10.6.4.0,24,10.5.17.250,
