deviceID,VlanID,name,ip address,ip address mask
l2-20240214-01,1,DEFAULT_VLAN,,
l2-20240214-01,401,VLAN 401 seg,,
l2-20240214-01,402,VLAN 402 seg,,
l2-20240214-01,403,VLAN 403 seg,,
l2-20240214-01,404,VLAN 404 seg,,
l2-20240214-01,405,VLAN 405 seg,,
l2-20240214-01,406,VLAN 406 seg,,
l2-20240214-01,407,VLAN 407 seg,,
l2-20240214-01,409,VLAN 409 seg,,
l2-20240214-01,410,VLAN 410 seg,,
l2-20240214-01,411,VLAN 411 seg,,
l2-20240214-01,412,VLAN 412 seg,,
l2-20240214-01,413,VLAN 413 seg,,
l2-20240214-01,414,VLAN 414 seg,,
l2-20240214-01,416,VLAN 416 seg,,
l2-20240214-01,417,VLAN 417 seg,,
l2-20240214-01,418,VLAN 418 seg,,
l2-20240214-01,419,VLAN 419 seg,,
l2-20240214-01,420,VLAN 420 seg,,
l2-20240214-01,421,VLAN 421 seg,,
l2-20240214-01,422,VLAN 422 seg,,
l2-20240214-01,423,VLAN 423 seg,,
l2-20240214-01,424,VLAN 424 seg,,
l2-20240214-01,427,VLAN 427 seg,,
l2-20240214-01,92,VLAN 92 seg,,
