deviceID,dest_ip,dest_mask,gw,metric
test,10.6.1.0,24,10.5.16.250,
test,10.6.2.0,24,10.5.17.250,
test,10.6.3.0,24,10.5.17.250,
test,10.6.4.0,24,10.5.17.250,
